epoch,loss,val_loss
0,14.080979683632213,9.7638489611737143
1,9.1439613304078478,8.2318044352337605
2,8.2530231388372624,7.7252987241357323
3,7.791559397125841,7.2696170341677782
4,7.4406198428755452,6.9359219845717517
5,7.1774256192089432,6.6591120874978662
6,6.9616354234155171,6.4710332195933269
7,6.7772883996829183,6.371905837795599
8,6.6375990246607106,6.2097785220882757
9,6.5149315003945798,6.114887956293618
10,6.3899872158390814,6.0826897473839239
11,6.3045477641468315,5.9235110399199691
12,6.2030282792462987,5.9073589797911605
13,6.1076930841705606,5.8142175519369479
14,6.0351435183509423,5.7232469760305511
15,5.9626460686386658,5.693534537059505
16,5.8746413258506287,5.6209817661502495
17,5.8172621622369141,5.5662854721875696
18,5.7534097253324843,5.5714446781127434
19,5.6671528224616727,5.4732741883130576
20,5.6370932779327054,5.4708751135725313
21,5.5741215677365821,5.373386429577339
22,5.5154229362768374,5.3376487793961189
23,5.4526043175083929,5.3116819498015611
24,5.4119669349204766,5.2687776340701715
25,5.3595943540922351,5.2597728853303245
26,5.3085113495690912,5.1907833673120516
27,5.2584372000925601,5.1602823784680867
28,5.2112727954557299,5.1097680696626986
29,5.1680367478742282,5.0750548603088879
30,5.1295751865891415,5.0514986720511583
31,5.0899324249363094,4.9915086699695124
32,5.0512293258631171,4.9764231534508188
33,5.0142217933254809,4.9325650982740452
34,4.9615410484916911,4.9124238859347216
35,4.9490666166045854,4.9155786785652964
36,4.9156277652077831,4.8670291187317387
37,4.8789209899618777,4.8766981031836529
38,4.8432798796491072,4.8423899782382378
39,4.8058150168763643,4.8193580689469
40,4.7905547589315498,4.8181687595398444
41,4.7398255081654339,4.7496263108602381
42,4.712793251121175,4.8580614935091839
43,4.6936831050929468,4.7480842001069856
44,4.6697131883743594,4.6869786642431244
45,4.6294967090654451,4.6633123079935705
46,4.6075308364172685,4.6860581421270604
47,4.5897574460114674,4.6293713189722077
48,4.5540716818240883,4.6032033470588001
49,4.5321403084338554,4.621213613680708
50,4.5011632547691951,4.5860963263162748
51,4.4800941966583654,4.5640520584292528
52,4.4463093814939398,4.6187882082249088
53,4.4478224692546142,4.5932889504161309
54,4.4125869773363284,4.5775199773834974
55,4.3744145610224283,4.5052506268509038
56,4.3611694961273244,4.5121015913118194
57,4.3447863707121135,4.4971220094013988
58,4.3265141019761471,4.4779950072125692
59,4.2931845998689413,4.4787100714396653
60,4.2957878689474907,4.4781854172063067
61,4.2754231642482798,4.4695875819136459
62,4.2395730472096069,4.5099775422879347
63,4.2378392949649051,4.4052263500244635
64,4.204436713279879,4.4701859815333913
65,4.1944640966424362,4.4183412706948877
66,4.1677621934559426,4.3761804743510924
67,4.1535127996316348,4.4028964662939556
68,4.1264250260339654,4.3953049023946127
69,4.1232012698198899,4.3429987015762945
70,4.105718566957214,4.3964605199612254
71,4.0967115529875349,4.3175627910024748
72,4.0815685875538925,4.3002298448143934
73,4.070988474698134,4.3491729147065943
74,4.0476205731706809,4.29360977420962
75,4.0235208708579551,4.3351740550219526
76,4.0156826059807074,4.2946126185781583
77,3.9971212930634548,4.2803219058649331
78,3.9986695863458097,4.3113714621319037
79,3.9857866848541166,4.3018897203895134
80,3.7533425187243727,4.0859686835994564
81,3.6910468816458715,4.0854666229186023
82,3.6457000309238223,4.0840699273396313
83,3.6388572467809923,4.0680720127694974
84,3.6177662222821949,4.0785037684246772
85,3.627415852524305,4.0790195627910331
86,3.6111666946619914,4.0715620622402282
87,3.5968616866990808,4.0736189462305088
88,3.5860477579442174,4.0590406596176027
89,3.583320131145173,4.0683876588092591
90,3.5666951190324645,4.0685243172374195
91,3.5603525744021778,4.0725389348782173
92,3.5658621117020251,4.0558682992206361
93,3.5497362429211399,4.0655718454500525
94,3.5607336380037715,4.0483473537414056
95,3.5369514647112208,4.0662921324008847
96,3.5301103414616115,4.0596624002224058
97,3.529377653901006,4.0656441300865112
98,3.5291358103401409,4.0551607372314953
99,3.5238197064810142,4.0437816650886846
100,3.4947472731148106,4.0405479407891995
101,3.4848870710811704,4.0378730487048138
102,3.4927001907232222,4.0387491768937771
103,3.484812073319544,4.0388588959608622
104,3.5029664044014539,4.0384579852344542
105,3.4829124805065388,4.0424497705164963
106,3.4918800948520596,4.0417302775189157
107,3.4913548587073744,4.0429764592550637
108,3.4788730209571468,4.0417883159668468
109,3.488326307604197,4.0442597916455769
110,3.4775293572743733,4.0445189041819996
111,3.4637785500689104,4.0370167282538683
112,3.4803369617238289,4.0390123142459524
113,3.4732234034217391,4.0403285484003826
114,3.4787024315459441,4.0433088155296764
115,3.4745992081457979,4.038717883970679
116,3.4809579583512784,4.0423872389444488
117,3.4809071601799024,4.0379938691612178
118,3.4748676294601393,4.0394204473107811
119,3.4862391116137794,4.0404557732062614
